unique_carrier,yearmonth,departures_scheduled,departures_performed,seats,passengers,distance,ramp_to_ramp,air_time
AA,2010-01,46707.0,45554.0,6969569.0,5127194.0,803590.0,7600707.0,6518082.0
AA,2010-02,42424.0,40148.0,6147444.0,4637717.0,824712.0,6758904.0,5759697.0
AA,2010-03,47535.0,46973.0,7184484.0,5902746.0,905864.0,7818154.0,6684643.0
AA,2010-04,44829.0,44530.0,6823515.0,5618940.0,883584.0,7390606.0,6362800.0
AA,2010-05,45770.0,44965.0,6910981.0,5746860.0,874970.0,7528761.0,6451226.0
AA,2010-06,45203.0,44182.0,6768307.0,5913178.0,942326.0,7376891.0,6284284.0
AA,2010-07,46693.0,46125.0,7055730.0,6109451.0,847402.0,7694232.0,6542425.0
AA,2010-08,46524.0,46137.0,7068243.0,5835817.0,854023.0,7597259.0,6480676.0
AA,2010-09,43603.0,43294.0,6663218.0,5186443.0,827723.0,7073010.0,6086195.0
AA,2010-10,44810.0,44431.0,6851363.0,5691822.0,780412.0,7234555.0,6251074.0
AA,2010-11,43252.0,43133.0,6659370.0,5328819.0,760763.0,7088866.0,6140469.0
AA,2010-12,45812.0,44707.0,6910081.0,5443753.0,799570.0,7405923.0,6389598.0
AA,2011-01,46273.0,44792.0,6917564.0,5040076.0,784788.0,7431266.0,6404600.0
AA,2011-02,41926.0,39193.0,6070710.0,4571804.0,786667.0,6588658.0,5660913.0
AA,2011-03,46871.0,46045.0,7122306.0,5732669.0,818455.0,7642612.0,6609165.0
AA,2011-04,45428.0,44244.0,6818378.0,5528658.0,955543.0,7401326.0,6362600.0
AA,2011-05,46490.0,43938.0,6774485.0,5721347.0,929548.0,7329667.0,6293246.0
AA,2011-06,46001.0,44960.0,6904698.0,5942201.0,788276.0,7372363.0,6317557.0
AA,2011-07,47433.0,46436.0,7123335.0,6145183.0,726179.0,7575840.0,6478774.0
AA,2011-08,47160.0,45563.0,6992701.0,5797772.0,799073.0,7412806.0,6339327.0
AA,2011-09,43780.0,43431.0,6686974.0,5359746.0,778563.0,7050000.0,6057585.0
AA,2011-10,44609.0,44383.0,6814977.0,5674796.0,727689.0,7172058.0,6176900.0
AA,2011-11,41544.0,41373.0,6371046.0,5292957.0,750478.0,6795659.0,5870119.0
AA,2011-12,43027.0,42758.0,6625155.0,5273683.0,779237.0,7104852.0,6129296.0
AA,2012-01,43864.0,43146.0,6683918.0,5053597.0,724554.0,7100659.0,6127255.0
AA,2012-02,41912.0,41447.0,6423486.0,4913168.0,715125.0,6806388.0,5880656.0
AA,2012-03,46297.0,45574.0,7080074.0,5861305.0,795548.0,7466780.0,6423686.0
AA,2012-04,44049.0,42429.0,6569276.0,5467083.0,803218.0,6952083.0,5998502.0
AA,2012-05,45384.0,45085.0,6980622.0,5885590.0,778845.0,7393150.0,6331562.0
AA,2012-06,43818.0,43178.0,6668927.0,5834710.0,811214.0,7050637.0,6024277.0
AA,2012-07,45059.0,44521.0,6846857.0,5938937.0,835540.0,7370575.0,6284650.0
AA,2012-08,44872.0,44035.0,6761845.0,5745713.0,797572.0,7282953.0,6208859.0
AA,2012-09,41980.0,40695.0,6261443.0,4981835.0,713939.0,6808088.0,5752923.0
AA,2012-10,43276.0,42096.0,6447108.0,5364544.0,710204.0,6958987.0,5917234.0
AA,2012-11,42042.0,41708.0,6401649.0,5249822.0,702647.0,6880143.0,5888344.0
AA,2012-12,44908.0,44057.0,6733680.0,5398006.0,776394.0,7428961.0,6350234.0
AA,2013-01,44975.0,44118.0,6690869.0,5211513.0,719333.0,7362334.0,6326309.0
AA,2013-02,40907.0,40078.0,6062340.0,4836985.0,711508.0,6683220.0,5745537.0
AA,2013-03,45766.0,45339.0,6822747.0,5688958.0,758245.0,7546380.0,6494466.0
AA,2013-04,44440.0,43474.0,6478549.0,5400499.0,788615.0,7258623.0,6203979.0
AA,2013-05,46039.0,45435.0,6755912.0,5737817.0,830959.0,7555979.0,6451778.0
AA,2013-06,45539.0,44900.0,6674091.0,5842120.0,832027.0,7439429.0,6324442.0
AA,2013-07,47534.0,46658.0,6931424.0,5986657.0,813058.0,7704713.0,6548992.0
AA,2013-08,47126.0,46608.0,6924021.0,5791697.0,816879.0,7628295.0,6518303.0
AA,2013-09,43255.0,43004.0,6370496.0,5030122.0,738415.0,6965672.0,5953363.0
AA,2013-10,45314.0,45270.0,6705794.0,5558825.0,720569.0,7379761.0,6318335.0
AA,2013-11,43314.0,42641.0,6379218.0,5062179.0,759797.0,7011511.0,6030532.0
AA,2013-12,45859.0,42887.0,6473474.0,5400062.0,772773.0,7313377.0,6247357.0
AA,2014-01,45558.0,43981.0,6611615.0,5242462.0,771952.0,7392960.0,6320660.0
AA,2014-02,41210.0,39249.0,5896562.0,4839965.0,756584.0,6675939.0,5689220.0
AA,2014-03,46417.0,45547.0,6826735.0,5764500.0,753081.0,7705792.0,6584550.0
AA,2014-04,43769.0,43634.0,6497105.0,5530368.0,752505.0,7364331.0,6314569.0
AA,2014-05,45984.0,44918.0,6686925.0,5811266.0,889879.0,7536157.0,6424930.0
AA,2014-06,46170.0,45663.0,6783822.0,5984529.0,837641.0,7712434.0,6515801.0
AA,2014-07,47726.0,47132.0,6999870.0,6177389.0,805586.0,7966133.0,6751998.0
AA,2014-08,46428.0,45971.0,6826635.0,5889791.0,834588.0,7745099.0,6550261.0
AA,2014-09,43381.0,43127.0,6396546.0,5186089.0,672107.0,7160773.0,6084093.0
AA,2014-10,45246.0,44878.0,6671728.0,5612765.0,740350.0,7527387.0,6381446.0
AA,2014-11,42653.0,42416.0,6426738.0,5117243.0,723015.0,7165348.0,6110359.0
AA,2014-12,45509.0,45172.0,6933191.0,5588290.0,769056.0,7759009.0,6591277.0
AA,2015-01,44198.0,43290.0,6652976.0,5162734.0,766338.0,7377128.0,6264201.0
AA,2015-02,39955.0,37397.0,5750695.0,4703114.0,699874.0,6444618.0,5437391.0
AA,2015-03,46098.0,44657.0,6879387.0,5750242.0,782447.0,7682083.0,6519188.0
AA,2015-04,45024.0,44668.0,6878772.0,5725661.0,839385.0,7703412.0,6512787.0
AA,2015-05,44955.0,44065.0,6790347.0,5744058.0,848471.0,7640724.0,6466302.0
AA,2015-06,44584.0,44042.0,6809242.0,5983555.0,880815.0,7652708.0,6439287.0
AA,2015-07,81694.0,81141.0,12497241.0,11124907.0,1536657.0,13428147.0,11236536.0
AA,2015-08,80053.0,79294.0,12192093.0,10681235.0,1648419.0,13069139.0,10931080.0
AA,2015-09,73541.0,73283.0,11221846.0,9493450.0,1592039.0,11770668.0,9830253.0
AA,2015-10,77526.0,76926.0,11813423.0,10308524.0,1641171.0,12298839.0,10261588.0
AA,2015-11,74132.0,73660.0,11396399.0,9590796.0,1671077.0,11845727.0,9888827.0
AA,2015-12,76894.0,75694.0,11777827.0,9817766.0,1738409.0,12499674.0,10470940.0
AA,2016-01,75822.0,73120.0,11398362.0,9117620.0,1697138.0,11878854.0,9930150.0
AA,2016-02,71609.0,70623.0,11019135.0,8688620.0,1573028.0,11481086.0,9579360.0
AA,2016-03,79323.0,78890.0,12374467.0,10303660.0,1578085.0,13024243.0,10895576.0
AA,2016-04,75073.0,74451.0,11623022.0,9693080.0,1613586.0,12197499.0,10195670.0
AA,2016-05,78977.0,78516.0,12236207.0,10375904.0,1656523.0,12885912.0,10718241.0
AA,2016-06,79997.0,79188.0,12293729.0,10678466.0,1746345.0,13351416.0,11094723.0
AA,2016-07,82093.0,80663.0,12573045.0,10818345.0,1793107.0,13659678.0,11347908.0
AA,2016-08,80643.0,79185.0,12351636.0,10214826.0,1844124.0,13240274.0,10941481.0
AA,2016-09,72602.0,72451.0,11311543.0,9299410.0,1513753.0,11639386.0,9610083.0
AA,2016-10,75280.0,74567.0,11644583.0,9752974.0,1552313.0,12037254.0,9976375.0
AA,2016-11,71909.0,71799.0,11308557.0,9293730.0,1588729.0,11601601.0,9661240.0
AA,2016-12,73943.0,73437.0,11604526.0,9403043.0,1570439.0,12367203.0,10337532.0
AA,2017-01,73354.0,72391.0,11421113.0,8921273.0,1601635.0,12036773.0,10015368.0
AA,2017-02,67253.0,66467.0,10494769.0,8366798.0,1479525.0,10875895.0,9070260.0
AA,2017-03,78315.0,77094.0,12206904.0,10300257.0,1517029.0,12797240.0,10643408.0
AA,2017-04,73845.0,73143.0,11560015.0,9679587.0,1571461.0,12086439.0,10031260.0
AA,2017-05,77504.0,77063.0,12143485.0,10215175.0,1516428.0,12758488.0,10578412.0
AA,2017-06,77446.0,76149.0,11999777.0,10335637.0,1633735.0,12996567.0,10751862.0
AA,2017-07,79838.0,78319.0,12371675.0,10571644.0,1690669.0,13405973.0,11091881.0
AA,2017-08,79559.0,78576.0,12405197.0,10458149.0,1706421.0,13291657.0,11010174.0
AA,2017-09,72263.0,69010.0,10853216.0,8913394.0,1507017.0,11140459.0,9232583.0
AA,2017-10,75909.0,75654.0,11905130.0,10256893.0,1491923.0,12247889.0,10160305.0
AA,2017-11,69794.0,69726.0,11025530.0,9531342.0,1546077.0,11304005.0,9421275.0
AA,2017-12,73908.0,73594.0,11671656.0,9757169.0,1654646.0,12441730.0,10350041.0
AA,2018-01,73785.0,72296.0,11456920.0,9063358.0,1535975.0,12110383.0,10061564.0
AA,2018-02,68581.0,67712.0,10708619.0,8788047.0,1554650.0,11328439.0,9398985.0
AA,2018-03,78407.0,75893.0,12018207.0,10446771.0,1520135.0,12614963.0,10525381.0
AA,2018-04,74580.0,74159.0,11711267.0,9914151.0,1660897.0,12250770.0,10198428.0
AA,2018-05,78235.0,77295.0,12183845.0,10399663.0,1642763.0,12819286.0,10634650.0
AA,2018-06,78674.0,77266.0,12191042.0,10672106.0,1624620.0,13014186.0,10779033.0
AA,2018-07,81066.0,79178.0,12522519.0,10924877.0,1604098.0,13442023.0,11097667.0
AA,2018-08,80777.0,79368.0,12553096.0,10631386.0,1694083.0,13371916.0,11017987.0
AA,2018-09,75402.0,74015.0,11707801.0,9042830.0,1631407.0,12155702.0,10029604.0
AA,2018-10,79174.0,78569.0,12424055.0,10307105.0,1596667.0,12780018.0,10569451.0
AA,2018-11,74693.0,74204.0,11835706.0,9905071.0,1639184.0,12052417.0,9986348.0
AA,2018-12,76344.0,75032.0,12027129.0,9788721.0,1881427.0,12420211.0,10320691.0
AA,2019-01,77200.0,75696.0,12154183.0,9568310.0,1692431.0,12371562.0,10237951.0
AA,2019-02,71236.0,70376.0,11285898.0,9255243.0,1712892.0,11570259.0,9574583.0
AA,2019-03,80154.0,78431.0,12573811.0,10914442.0,1637427.0,12853940.0,10704039.0
AA,2019-04,77016.0,74409.0,11857840.0,10197906.0,1734772.0,12083740.0,10024297.0
AS,2010-01,9903.0,10665.0,1499156.0,1066857.0,426968.0,1724772.0,1511681.0
AS,2010-02,9096.0,9641.0,1358781.0,1002885.0,406035.0,1544870.0,1356425.0
AS,2010-03,10379.0,11118.0,1565207.0,1242858.0,402777.0,1793006.0,1579878.0
AS,2010-04,10113.0,10914.0,1537361.0,1190060.0,361869.0,1740153.0,1537823.0
AS,2010-05,11034.0,11782.0,1667809.0,1278606.0,418708.0,1901093.0,1683280.0
AS,2010-06,11759.0,12545.0,1788497.0,1432571.0,451279.0,2063603.0,1821256.0
AS,2010-07,12180.0,13144.0,1867717.0,1547721.0,397909.0,2158901.0,1902508.0
AS,2010-08,12229.0,13050.0,1855953.0,1532475.0,401450.0,2145453.0,1885448.0
AS,2010-09,10787.0,11716.0,1651808.0,1282026.0,423036.0,1904790.0,1679700.0
AS,2010-10,10779.0,11807.0,1662653.0,1274562.0,393000.0,1950328.0,1724086.0
AS,2010-11,10310.0,11212.0,1574958.0,1250058.0,430999.0,1886580.0,1659070.0
