idx,unique_carrier,yearmonth,total_departures_scheduled,total_departures_performed,agg_seat_count,total_passenger_count,total_miles_traveled,total_minutes_r2r,total_air_minutes,year,month,carrier_name,total_fuel_cost,full_date,month_stock_price_max,month_stock_price_min,month_stock_price_open,month_stock_price_close,month_stock_price_volume,adj_month_stock_price_close,stock_symbol
0,AA,2010-01,46707.0,45554.0,6969569.0,5127194.0,803590.0,7600707.0,6518082.0,2010,1,American Airlines Inc.,458806189.0,2010-01-01,5.960000038146973,4.46999979019165,4.8400001525878915,5.309999942779541,262480900.0,5.024456977844238,AAL
1,AA,2010-02,42424.0,40148.0,6147444.0,4637717.0,824712.0,6758904.0,5759697.0,2010,2,American Airlines Inc.,388449715.0,2010-02-01,7.4000000953674325,5.349999904632568,5.429999828338623,7.329999923706055,230715100.0,6.935831069946289,AAL
2,AA,2010-03,47535.0,46973.0,7184484.0,5902746.0,905864.0,7818154.0,6684643.0,2010,3,American Airlines Inc.,454712175.0,2010-03-01,8.170000076293945,6.809999942779541,7.4099998474121085,7.3499999046325675,173820100.0,6.954755783081055,AAL
3,AA,2010-04,44829.0,44530.0,6823515.0,5618940.0,883584.0,7390606.0,6362800.0,2010,4,American Airlines Inc.,462016857.0,2010-04-01,7.869999885559082,6.269999980926514,7.369999885559082,7.070000171661378,326723600.0,6.68981409072876,AAL
4,AA,2010-05,45770.0,44965.0,6910981.0,5746860.0,874970.0,7528761.0,6451226.0,2010,5,American Airlines Inc.,503434531.0,2010-05-01,8.970000267028809,5.699999809265138,7.210000038146973,8.829999923706055,262008300.0,8.355171203613281,AAL
5,AA,2010-06,45203.0,44182.0,6768307.0,5913178.0,942326.0,7376891.0,6284284.0,2010,6,American Airlines Inc.,468758063.0,2010-06-01,10.869999885559082,8.159999847412111,8.640000343322754,8.609999656677246,239865600.0,8.147000312805176,AAL
6,AA,2010-07,46693.0,46125.0,7055730.0,6109451.0,847402.0,7694232.0,6542425.0,2010,7,American Airlines Inc.,485638361.0,2010-07-01,11.149999618530273,8.020000457763674,8.619999885559082,10.850000381469727,200482300.0,10.266546249389648,AAL
7,AA,2010-08,46524.0,46137.0,7068243.0,5835817.0,854023.0,7597259.0,6480676.0,2010,8,American Airlines Inc.,470271142.0,2010-08-01,11.399999618530273,8.399999618530272,11.0,9.039999961853027,169127000.0,8.553877830505371,AAL
8,AA,2010-09,43603.0,43294.0,6663218.0,5186443.0,827723.0,7073010.0,6086195.0,2010,9,American Airlines Inc.,430701582.0,2010-09-01,10.170000076293944,8.510000228881836,9.329999923706056,9.25,129319900.0,8.752584457397461,AAL
9,AA,2010-10,44810.0,44431.0,6851363.0,5691822.0,780412.0,7234555.0,6251074.0,2010,10,American Airlines Inc.,473657488.0,2010-10-01,12.239999771118164,8.9399995803833,9.289999961853027,11.789999961853027,140380600.0,11.155996322631836,AAL
10,AA,2010-11,43252.0,43133.0,6659370.0,5328819.0,760763.0,7088866.0,6140469.0,2010,11,American Airlines Inc.,462522696.0,2010-11-01,12.260000228881836,10.510000228881836,11.880000114440918,11.15999984741211,105905700.0,10.55987548828125,AAL
