,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,unique_carrier_name,origin_airport_id,origin,dest_airport_id,dest,aircraft_type,year,quarter,month,seats_v1,passengers_v1,null_seats,null_seats_prop,day_per_departures_perf,distance_grouped,is_overbooked,distance_per_departures
0,119.0,117.0,3065400.0,11700,9752,1561.0,0.0,187.0,8519.0,5292.0,B6,JetBlue Airways,10721,BOS  ,12478,JFK  ,678,2011,3,7,100,83,17,0.17,3.9,0,0,1.6
1,135.0,132.0,4424140.0,18834,13258,8395.0,0.0,813.0,16872.0,13117.0,DL,Delta Air Lines Inc.,10423,AUS  ,10397,ATL  ,655,2011,1,2,143,100,43,0.3,4.4,0,1,6.16
2,160.0,147.0,4923590.0,20915,15468,17429.0,0.0,227.0,11810.0,6679.0,DL,Delta Air Lines Inc.,11057,CLT  ,10397,ATL  ,655,2011,1,1,142,105,37,0.26,4.9,0,1,1.54
3,0.0,0.0,0.0,0,0,0.0,0.0,143.0,0.0,0.0,DL,Delta Air Lines Inc.,10208,AGS  ,10397,ATL  ,698,2012,2,4,0,0,0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0,0.0,344.0,0.0,0.0,DL,Delta Air Lines Inc.,14122,PIT  ,12197,HPN  ,655,2013,1,3,0,0,0,0.0,0.0,0,0,0.0
5,20.0,20.0,748000.0,3000,2555,0.0,0.0,1698.0,4575.0,4183.0,B6,JetBlue Airways,10423,AUS  ,10721,BOS  ,694,2012,2,6,150,128,22,0.15,0.67,2,1,84.9
6,30.0,30.0,1122000.0,4500,3951,300.0,0.0,266.0,2577.0,1755.0,B6,JetBlue Airways,10785,BTV  ,12478,JFK  ,694,2012,3,7,150,132,18,0.12,1.0,0,0,8.87
7,1.0,0.0,0.0,0,0,0.0,0.0,581.0,0.0,0.0,DL,Delta Air Lines Inc.,11697,FLL  ,10397,ATL  ,656,2016,4,12,0,0,0,0.0,0.0,0,0,0.0
8,36.0,34.0,1271600.0,5100,4747,0.0,0.0,1053.0,5547.0,4788.0,B6,JetBlue Airways,15096,SYR  ,13204,MCO  ,694,2012,1,3,150,140,10,0.07,1.13,1,0,30.97
9,37.0,37.0,969400.0,3700,2933,114.0,0.0,937.0,5621.0,4704.0,B6,JetBlue Airways,13204,MCO  ,11618,EWR  ,678,2012,4,12,100,79,21,0.21,1.23,1,1,25.32
